year,state,state_min_wage,fed_min_wage
2020,NE,9.0,7.25
2020,NV,7.25,7.25
2020,NH,7.25,7.25
2020,NJ,11.0,7.25
2020,NM,9.0,7.25
2020,NY,11.8,7.25
2020,NC,7.25,7.25
2020,ND,7.25,7.25
2020,OH,8.7,7.25
2020,OK,2.0,7.25
2020,OR,11.25,7.25
2020,PA,7.25,7.25
2020,PR,5.08,7.25
2020,RI,10.5,7.25
2020,SC,0.0,7.25
2020,SD,9.3,7.25
2020,TN,0.0,7.25
2020,TX,7.25,7.25
2020,VI,10.5,7.25
2020,UT,7.25,7.25
2020,VT,10.96,7.25
2020,VA,7.25,7.25
2020,WA,13.5,7.25
2020,WV,8.75,7.25
2020,WI,7.25,7.25
2020,WY,5.15,7.25
